,items,support,count
202,"{vulnerability,reentrant-attacks}",0.0017382477954704053,137
203,"{golem,ssz}",0.0011165387299371947,88
204,"{cryptokitties,ssz}",0.001218042250840576,96
205,"{password,ssz}",0.00171287191524456,135
206,"{ssz,layer-2}",0.00152255281355072,120
207,"{rails,data-types}",0.0011292266700501173,89
208,"{tornado-cash,vanity}",0.0010023472689208908,79
209,"{solidity-0.7.x,tornado-cash}",0.0013068578316310347,103
210,"{grammar,vulnerability}",0.0020681342384063946,163
211,"{sor-v2,london}",0.00171287191524456,135
212,"{pure,fixed-point}",0.0010404110892596587,82
213,"{android,ssz}",0.0012941698915181121,102
214,"{trust,gas-estimate}",0.0014971769333248747,118
215,"{solidity-0.7.x,flash-loans}",0.00228382922032608,180
216,"{ssz,flash-loans}",0.0012053543107276533,95
217,"{0x,fixed-point}",0.001446425172873184,114
218,"{libp2p,ssz}",0.0020300704180676267,160
219,"{openzeppelin,ssz}",0.0018270633762608641,144
220,"{pyethereum,ssz}",0.001484488993211952,117
221,"{scheduling,ide}",0.001065786969485504,84
222,"{aar,uniswap}",0.0013195457717439575,104
223,"{aar,ssz}",0.0011672904903888854,92
224,"{abstract,ssz}",0.001598680454228256,126
225,"{vulnerability,py-solc-x}",0.0010023472689208908,79
226,"{kyc,london}",0.00171287191524456,135
227,"{kyc,ssz}",0.0013829854723085707,109
228,"{myetherwallet,user-safety}",0.0016874960350187146,133
229,"{user-safety,ssz}",0.0012687940112922668,100
230,"{proof-of-stake,ssz}",0.0014210492926473386,112
231,"{solidity-0.7.x,wrapped-tokens}",0.002359956861003616,186
232,"{ssz,wrapped-tokens}",0.0013068578316310347,103
233,"{trust,optimization}",0.0020046945378417815,158
234,"{openzeppelin-sdk,sec-security-exchange-commission}",0.0019158789570513227,151
235,"{trust,modifiers}",0.0022584533401002345,178
236,"{truffle-contract,erc-1155}",0.001218042250840576,96
237,"{presale,erc-1155}",0.0012307301909534986,97
238,"{ssz,erc-1155}",0.0031466091480048214,248
239,"{presale,truffle-contract}",0.0010277231491467361,81
240,"{truffle-contract,ssz}",0.0036414388124088055,287
241,"{vulnerability,ropsten-revival}",0.0017255598553574828,136
242,"{myetherwallet,ssz}",0.001953942777390091,154
243,"{archive-node,solidity-0.7.x}",0.002245765399987312,177
244,"{ssz,archive-node}",0.001966630717503013,155
245,"{ssz,bsc}",0.0018905030768254774,149
246,"{node-discovery,london}",0.0021569498191968536,170
247,"{synthetix,solidity-0.7.x}",0.00228382922032608,180
248,"{synthetix,london}",0.00114191461016304,90
249,"{ssz,synthetix}",0.0015479286937765653,122
250,"{presale,ssz}",0.004022077015796485,317
251,"{rlp,rpc}",0.0011292266700501173,89
252,"{solidity-0.7.x,vanity}",0.0037810061536509548,298
253,"{ssz,vanity}",0.0014337372327602614,113
254,"{sec-security-exchange-commission,london}",0.0010784749095984268,85
255,"{ssz,sec-security-exchange-commission}",0.00114191461016304,90
256,"{npm,openethereum}",0.0010404110892596587,82
257,"{vulnerability,openethereum}",0.0016621201547928693,131
258,"{ios,solidity-0.7.x}",0.0022203895197614666,175
259,"{ios,london}",0.0013829854723085707,109
260,"{ios,ssz}",0.0016621201547928693,131
261,"{verify,random}",0.0013195457717439575,104
262,"{ssz,random}",0.0025756518429233015,203
263,"{tokens,vulnerability}",0.0014591131129861067,115
264,"{vulnerability,npm}",0.001065786969485504,84
265,"{scheduling,tether}",0.001446425172873184,114
266,"{vulnerability,tether}",0.003692190572860496,291
267,"{interfaces,london}",0.0012053543107276533,95
268,"{vulnerability,interfaces}",0.002677155363826683,211
269,"{parity,london}",0.0026137156632620694,206
270,"{parity,ssz}",0.001941254837277168,153
271,"{etherscan,ssz}",0.0030958573875531307,244
272,"{constructor,clique}",0.001179978430501808,93
273,"{clique,meta-data}",0.0018016874960350188,142
274,"{vulnerability,clique}",0.002512212142358688,198
275,"{hydrachain,verify}",0.0010404110892596587,82
276,"{hydrachain,public-key}",0.0031212332677789762,246
277,"{hydrachain,ssz}",0.0033369282496986613,263
278,"{polkadot,plasma}",0.0011926663706147307,94
279,"{plasma,london}",0.004466154919748779,352
280,"{vulnerability,plasma}",0.001179978430501808,93
281,"{plasma,ssz}",0.0013449216519698028,106
282,"{time,ssz}",0.001979318657615936,156
283,"{attacks,ssz}",0.0020808221785193174,164
284,"{rails,london}",0.0029055382858592907,229
285,"{rails,ssz}",0.002512212142358688,198
286,"{vulnerability,vim}",0.0020300704180676267,160
287,"{privacy,datadir}",0.0024107086214553066,190
288,"{public-key,privacy}",0.001256106071179344,99
289,"{privacy,london}",0.0019158789570513227,151
290,"{privacy,ssz}",0.0020046945378417815,158
291,"{rlp,ethminer}",0.0011926663706147307,94
292,"{message,ethminer}",0.0010530990293725815,83
293,"{ethminer,fixed-point}",0.001256106071179344,99
294,"{ethminer,vulnerability}",0.0010911628497113494,86
295,"{ethminer,ssz}",0.001750935735583328,138
