StackExchange,Size,Number of XMLs
german.stackexchange.com.7z,50.5M,3,Badges.xml,PostHistory.xml,PostLinks.xml
gis.meta.stackexchange.com.7z,4.0M,1,Badges.xml
gis.stackexchange.com.7z,303.6M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
graphicdesign.meta.stackexchange.com.7z,3.2M,1,Badges.xml
graphicdesign.stackexchange.com.7z,80.6M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
ham.meta.stackexchange.com.7z,513.6K,1,Badges.xml
ham.stackexchange.com.7z,13.4M,1,Badges.xml
hardwarerecs.meta.stackexchange.com.7z,946.9K,1,Badges.xml
hardwarerecs.stackexchange.com.7z,8.4M,1,Badges.xml
health.meta.stackexchange.com.7z,1.7M,1,Badges.xml
health.stackexchange.com.7z,18.3M,1,Badges.xml
hermeneutics.meta.stackexchange.com.7z,2.8M,1,Badges.xml
hermeneutics.stackexchange.com.7z,78.8M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
hinduism.meta.stackexchange.com.7z,3.1M,1,Badges.xml
hinduism.stackexchange.com.7z,56.3M,3,Badges.xml,PostHistory.xml,PostLinks.xml
history.meta.stackexchange.com.7z,2.9M,1,Badges.xml
history.stackexchange.com.7z,78.0M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Votes.xml
homebrew.meta.stackexchange.com.7z,360.5K,1,Badges.xml
homebrew.stackexchange.com.7z,13.2M,1,Badges.xml
hsm.meta.stackexchange.com.7z,455.7K,1,Badges.xml
hsm.stackexchange.com.7z,13.1M,1,Badges.xml
interpersonal.meta.stackexchange.com.7z,4.6M,1,Badges.xml
interpersonal.stackexchange.com.7z,30.3M,2,Badges.xml,Posts.xml
iot.meta.stackexchange.com.7z,507.4K,1,Badges.xml
iot.stackexchange.com.7z,5.8M,1,Badges.xml
iota.meta.stackexchange.com.7z,95.2K,1,Badges.xml
iota.stackexchange.com.7z,2.0M,1,Badges.xml
islam.meta.stackexchange.com.7z,3.5M,1,Badges.xml
