,LHS,RHS,support,confidence,coverage,lift,count
109,{garga},{lalita-sahasranama},0.0014199615032659115,0.34615384615384615,0.004102111009434856,9.547399076119703,45
110,{lalita-sahasranama},{garga},0.0014199615032659115,0.0391644908616188,0.036256350383389604,9.547399076119703,45
111,{guru-geetha},{yaska},0.001325297403048184,0.23204419889502761,0.005711400713136222,17.14152146196345,42
112,{yaska},{guru-geetha},0.001325297403048184,0.0979020979020979,0.013536966331135023,17.141521461963453,42
113,{evil},{yoga-vashishtha},0.0020826102047900035,0.4074074074074074,0.005111861411757282,15.047958214624881,66
114,{yoga-vashishtha},{evil},0.0020826102047900035,0.07692307692307693,0.027073932662270043,15.047958214624883,66
115,{evil},{priests},0.004102111009434855,0.8024691358024691,0.005111861411757281,19.42784521215894,130
116,{priests},{evil},0.004102111009434855,0.09931245225362872,0.041305102395001736,19.42784521215894,130
117,{yama},{prisoners},0.002555930705878641,0.5704225352112676,0.004480767410305765,40.806457253680094,81
118,{prisoners},{yama},0.002555930705878641,0.18284424379232506,0.013978732132151084,40.806457253680094,81
119,{yama},{nimbarkacharya},0.0014515162033384872,0.323943661971831,0.004480767410305765,19.44336854460094,46
120,{nimbarkacharya},{yama},0.0014515162033384872,0.08712121212121213,0.016660881638320028,19.44336854460094,46
121,{ekadashi},{chiranjivi},0.0011359692026127292,0.16822429906542055,0.0067527058155312245,12.971280442049252,36
122,{chiranjivi},{ekadashi},0.0011359692026127292,0.08759124087591241,0.012968981729828659,12.971280442049254,36
123,{ekadashi},{vanaras},0.0027768136063866713,0.411214953271028,0.006752705815531224,15.738904690956701,88
124,{vanaras},{ekadashi},0.0027768136063866713,0.10628019323671498,0.02612729166009277,15.738904690956703,88
125,{vahana},{vyuha},0.0014199615032659115,0.21951219512195122,0.006468713514878041,16.445770627919046,45
126,{vyuha},{vahana},0.0014199615032659115,0.10638297872340426,0.013347638130699568,16.445770627919046,45
127,{vahana},{kumarila-bhatta},0.0010413051023950017,0.16097560975609757,0.006468713514878041,3.082464077812984,33
128,{kumarila-bhatta},{vahana},0.0010413051023950017,0.019939577039274924,0.052223028620112966,3.0824640778129835,33
129,{living},{devtas},0.0010728598024675776,0.16037735849056603,0.006689596415386073,3.594426356382269,34
130,{devtas},{living},0.0010728598024675776,0.024045261669024046,0.044618345902622196,3.5944263563822694,34
131,{manu-smriti},{immortality},0.001325297403048184,0.20388349514563106,0.006500268214950617,18.948011274663326,42
132,{immortality},{manu-smriti},0.001325297403048184,0.12316715542521994,0.010760152724748352,18.948011274663326,42
